term,estimate,std.error,statistic,p.value,conf.low,conf.high,df_used,model
fiber_z,0.0020629894002819455,0.019584690407241267,0.10533684002067112,0.9175042419832216,-0.03968079006816134,0.043806768868725234,15,Model 3: Fully adjusted
(Intercept),4.417796678918889,0.16566244927526397,26.667459634007333,4.716591775961095e-14,4.064695526694808,4.77089783114297,15,Model 4: + Lead<c3><97>Fiber interaction
log_lead,-0.21284874846191185,0.03083238532973489,-6.903414905645966,5.032121090199255e-6,-0.2785664221614992,-0.14713107476232454,15,Model 4: + Lead<c3><97>Fiber interaction
fiber_z,-5.137332292577459e-4,0.017290717525028598,-0.029711504367248415,0.9766888529637219,-0.03736802524038239,0.03634055878186689,15,Model 4: + Lead<c3><97>Fiber interaction
age,0.021923012230044565,7.838029664330622e-4,27.970055191053962,2.337330957199497e-14,0.02025237575343241,0.02359364870665672,15,Model 4: + Lead<c3><97>Fiber interaction
sexFemale,-0.15332293250231233,0.04058554286236448,-3.7777721249723815,0.0018242948995177684,-0.23982896939259588,-0.06681689561202878,15,Model 4: + Lead<c3><97>Fiber interaction
race_ethOther Hispanic,-0.0652338529142582,0.07585677086971263,-0.8599608468214426,0.40334620454478676,-0.22691873271213917,0.09645102688362275,15,Model 4: + Lead<c3><97>Fiber interaction
race_ethNon-Hispanic White,-0.18131247391588146,0.067987381777727,-2.666854777679942,0.01758853260927732,-0.3262241479098166,-0.036400799921946336,15,Model 4: + Lead<c3><97>Fiber interaction
race_ethNon-Hispanic Black,0.10725186187732832,0.055589082457007465,1.9293691699314663,0.0728228242031089,-0.0112334626637451,0.22573718641840174,15,Model 4: + Lead<c3><97>Fiber interaction
race_ethNon-Hispanic Asian,0.2329978523648743,0.07601516300942085,3.0651496772558127,0.00785684011899177,0.070975367712792,0.3950203370169566,15,Model 4: + Lead<c3><97>Fiber interaction
race_ethOther/Multiracial,-0.10530604888712385,0.07486824678000896,-1.4065515544467415,0.17993964270861712,-0.264883939463231,0.054271841688983344,15,Model 4: + Lead<c3><97>Fiber interaction
educ9-11th grade,-0.2614172541641579,0.1091009077907807,-2.3961052154164415,0.03005278879380736,-0.49396033449497634,-0.028874173833339456,15,Model 4: + Lead<c3><97>Fiber interaction
educHigh school/GED,-0.25082905926522353,0.09227126362866793,-2.7183876041261126,0.01586262893381982,-0.447500602194774,-0.05415751633567306,15,Model 4: + Lead<c3><97>Fiber interaction
educSome college/AA,-0.3531967011277339,0.09845584975589618,-3.587361258913741,0.0026946070642474415,-0.5630503773476403,-0.1433430249078275,15,Model 4: + Lead<c3><97>Fiber interaction
educCollege graduate+,-0.34786517987096055,0.11543635302269227,-3.013480335805289,0.00872973843908607,-0.5939119420622557,-0.10181841767966535,15,Model 4: + Lead<c3><97>Fiber interaction
pir,-0.026751586794666084,0.008067780142887162,-3.3158547110695897,0.004703476497151375,-0.0439476531138991,-0.009555520475433066,15,Model 4: + Lead<c3><97>Fiber interaction
bmi,0.02339072075286049,0.0020678969567783437,11.311357017180292,9.65293060451341e-9,0.018983102724070847,0.027798338781650132,15,Model 4: + Lead<c3><97>Fiber interaction
smoke_statusFormer,0.0751171614791018,0.04713943432024184,1.5935100317240385,0.13189558681640856,-0.02535816438072254,0.17559248733892613,15,Model 4: + Lead<c3><97>Fiber interaction
smoke_statusCurrent,0.11882965037171292,0.06229453861432674,1.9075452361466567,0.07578277963518014,-0.01394801564864967,0.2516073163920755,15,Model 4: + Lead<c3><97>Fiber interaction
log_lead:fiber_z,-0.02392091618167501,0.021550883529886926,-1.1099738044846887,0.2844881205271311,-0.06985553708786413,0.022013704724514117,15,Model 4: + Lead<c3><97>Fiber interaction
